Date,Time,User,Message
19/10/2021,10:13 p. m.,Yahir,<Multimedia omitido>
19/10/2021,10:14 p. m.,Criz,<Multimedia omitido>
19/10/2021,10:14 p. m.,Yahir,<Multimedia omitido>
19/10/2021,10:15 p. m.,Gera,Sadge
19/10/2021,10:15 p. m.,Gera,"Y se vienen cosas peores, dice la biblia"
19/10/2021,10:27 p. m.,Gera,"Que pedo banda, cuando nos aventamos el house?"
19/10/2021,10:27 p. m.,Criz,Al chile de una
19/10/2021,10:28 p. m.,Gera,Arre
19/10/2021,10:28 p. m.,Gera,Tú si puedes Yahir?
19/10/2021,10:29 p. m.,Yahir,Voy a las 11 va?
19/10/2021,10:31 p. m.,Gera,Vava
19/10/2021,10:31 p. m.,Criz,Va
19/10/2021,10:32 p. m.,Yahir,Va 
